atomic_number,bulk_modulus
3,9.0
4,129.0
5,321.0
6,34.0
11,6.0
12,45.0
13,76.0
14,99.0
15,12.0
16,7.0
17,-2.0
19,2.0
20,16.0
21,58.0
22,109.0
23,159.0
24,160.0
25,118.0
26,169.0
27,179.0
28,179.0
29,140.0
30,69.0
33,21.0
34,10.0
35,0.0
37,1.0
39,40.0
41,171.0
42,230.0
44,221.0
45,380.0
46,180.0
47,99.0
48,40.0
50,58.0
51,39.0
52,63.0
53,7.0
55,0.0
56,11.0
57,28.0
58,19.0
59,28.0
60,31.0
61,33.0
62,37.0
63,9.0
64,37.0
65,38.0
66,39.0
67,38.0
68,42.0
69,44.0
70,30.0
71,47.0
72,107.0
73,201.0
74,308.0
75,370.0
77,321.0
78,230.0
79,219.0
80,23.0
81,44.0
82,46.0
83,30.0
90,52.0
92,99.0
31,56.0
40,91.0
32,74.0
76,373.0
49,40.0
38,14.9
43,157.0
