Alloy,Class,Phase
Al1C1.5Co1Cr1Fe1Ni1,0,Non-SP-SS
Al0.348Co1Cr1Fe1Ni1,0,Non-SP-SS
Al0.3Co1Cr2Fe1Ni1,0,Non-SP-SS
Al1C1Co1Cr1Fe1Ni1,0,Non-SP-SS
Al0.45Co1Cr1Fe1Ni1,0,Non-SP-SS
Al10Co21Cr18Fe36Ni15,0,Non-SP-SS
Al0.55Co1Cr1Fe1Ni1,0,Non-SP-SS
Al0.6Co1Cr1Fe1Ni1,0,Non-SP-SS
Al0.61Co1Cr1Fe1Ni1,0,Non-SP-SS
Al1C0.5Co1Cr1Fe1Ni1,0,Non-SP-SS
Al1C0.4Co1Cr1Fe1Ni1,0,Non-SP-SS
Al0.7Co1Cr1Fe1Ni1,0,Non-SP-SS
Al0.75Co1Cr1Fe1Ni1,0,Non-SP-SS
Al1C0.3Co1Cr1Fe1Ni1,0,Non-SP-SS
Al0.8Co1Cr1Fe1Ni1,0,Non-SP-SS
Al1C0.2Co1Cr1Fe1Ni1,0,Non-SP-SS
Al0.85Co1Cr1Fe1Ni1,0,Non-SP-SS
Al0.875Co1Cr1Fe1Ni1,0,Non-SP-SS
Al1C0.1Co1Cr1Fe1Ni1,0,Non-SP-SS
Al0.95Co1Cr1Fe1Ni1,0,Non-SP-SS
Al0.985Co1Cr1Fe1Ni1,0,Non-SP-SS
Al1.1Co1Cr1Fe1Ni1,0,Non-SP-SS
Al1.17Co1Cr1Fe1Ni1,0,Non-SP-SS
Al1.2Co1Cr1Fe1Ni1,0,Non-SP-SS
Al1.25Co1Cr1Fe1Ni1,0,Non-SP-SS
Al1.32Co1Cr1Fe1Ni1,0,Non-SP-SS
Al1Co1Cr1Fe1Nb0.25Ni1,0,Non-SP-SS
Al1.45Co1Cr1Fe1Ni1,0,Non-SP-SS
Al1Co1Cr1Fe1Nb0.36Ni1,0,Non-SP-SS
Al1.58Co1Cr1Fe1Ni1,0,Non-SP-SS
Al1.68Co1Cr1Fe1Ni1,0,Non-SP-SS
Al1Co1Cr1Fe1Nb0.5Ni1,0,Non-SP-SS
Al1.75Co1Cr1Fe1Ni1,0,Non-SP-SS
Al1.78Co1Cr1Fe1Ni1,0,Non-SP-SS
Al1.8Co1Cr1Fe1Ni1,0,Non-SP-SS
Al1.86Co1Cr1Fe1Ni1,0,Non-SP-SS
Al1Co1Cr1Fe1Nb0.62Ni1,0,Non-SP-SS
Al1.87Co1Cr1Fe1Ni1,0,Non-SP-SS
Al1.95Co1Cr1Fe1Ni1,0,Non-SP-SS
Al1.97Co1Cr1Fe1Ni1,0,Non-SP-SS
Al1Co1Cr1Fe1Nb0.75Ni1,0,Non-SP-SS
Al2.08Co1Cr1Fe1Ni1,0,Non-SP-SS
Al2.297Co1Cr1Fe1Ni1,0,Non-SP-SS
Al2.36Co1Cr1Fe1Ni1,0,Non-SP-SS
Al2.47Co1Cr1Fe1Ni1,0,Non-SP-SS
Al2.5Co1Cr1Fe1Ni1,0,Non-SP-SS
Al2.68Co1Cr1Fe1Ni1,0,Non-SP-SS
Al2.757Co1Cr1Fe1Ni1,0,Non-SP-SS
Al2.897Co1Cr1Fe1Ni1,0,Non-SP-SS
Al3Co1Cr1Fe1Ni1,0,Non-SP-SS
Al0CoCrFeNi,1,SP-SS
Al.09CoCrFeNi,1,SP-SS
Al0.095CoCrFeNi,1,SP-SS
Al0.1CoCrFeNi,1,SP-SS
Al0.15CoCrFeNi,1,SP-SS
Al0.2CoCrFeNi,1,SP-SS
Al.23CoCrFeNi,1,SP-SS
Al0.25Co1Cr1Fe1Ni1,1,SP-SS
Al0.3Co1Cr1Fe1Ni1,1,SP-SS
Al.35CoCrFeNi,1,SP-SS
Al0.375Co1Cr1Fe1Ni1,1,SP-SS
Al.42CoCrFeNi,1,SP-SS
Al0.5CoCrFeNi,1,SP-SS
Al.65CoCrFeNi,1,SP-SS
Al0.9CoCrFeNi,1,SP-SS
Al0.7Co0.3CrFeNi,1,SP-SS
AlCoCrFeNi,1,SP-SS
AlCoCrFeNb0.056Ni,1,SP-SS
AlCoCrFeNb0.1Ni,1,SP-SS
Al1.5CoCrFeNi,1,SP-SS
Al2CoCrFeNi,1,SP-SS
